Titre,URL,Image,Date,Etat,Prix,Nb_enchere,FDP
Carte Pokemon Florizarre 15/102 Holo 25 Ans Celebrations Set De Base FR ,https://www.ebay.fr/itm/403630491355?hash=item5dfa4086db:g:3U0AAOSw03JiWbcH,https://i.ebayimg.com/thumbs/images/g/3U0AAOSw03JiWbcH/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"15,00 EUR",1 enchère,"+2,00 EUR (livraison)"
Carte Pokemon Mega cizayox EX 120/122 Full art fr,https://www.ebay.fr/itm/144524935642?hash=item21a65b81da:g:JDoAAOSwZwRiENgU,https://i.ebayimg.com/thumbs/images/g/JDoAAOSwZwRiENgU/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"3,99 EUR",2 enchères,"+2,00 EUR (livraison)"
CARTE POKEMON FR XY RUPTURE TURBO - LEVIATOR EX 114/122 FULL ART ULTRA RARE -NM,https://www.ebay.fr/itm/224868338974?hash=item345b328d1e:g:lC8AAOSwXhZiIeLP,https://i.ebayimg.com/thumbs/images/g/lC8AAOSwXhZiIeLP/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"29,90 EUR",,Livraison gratuite
CARTE POKEMON FR XY RUPTURE TURBO - M LEVIATOR EX 115/122 FULL ART ULTRA RARE-NM,https://www.ebay.fr/itm/224868339730?hash=item345b329012:g:5AwAAOSwXPxiIeLz,https://i.ebayimg.com/thumbs/images/g/5AwAAOSwXPxiIeLz/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"34,90 EUR",,Livraison gratuite
Carte Pokemon Dracaufeu HOLO / XY12 Evolutions / PCA 9.5 Neuve FR,https://www.ebay.fr/itm/114916790327?hash=item1ac1931037:g:~fEAAOSw45ZhBwSb,https://i.ebayimg.com/thumbs/images/g/~fEAAOSw45ZhBwSb/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"469,00 EUR",,Livraison gratuite
Carte Pokémon Dracaufeu Reshiram 217/214 Métal Gold,https://www.ebay.fr/itm/294707911679?hash=item449df5dbff:g:7DoAAOSwnjlh2zM0,https://i.ebayimg.com/thumbs/images/g/7DoAAOSwnjlh2zM0/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"9,90 EUR",,Livraison gratuite
Carte Pokémon Pingoléon V Full Art 145/163 Eb05 Styles de Combat,https://www.ebay.fr/itm/185407074193?hash=item2b2b1f6f91:g:UIAAAOSwE0libCqC,https://i.ebayimg.com/thumbs/images/g/UIAAAOSwE0libCqC/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"10,00 EUR",1 enchère,"+2,90 EUR (livraison)"
Carte Pokémon promo - Givrali VSTAR Swsh 197 - JUMBO - FR et neuf,https://www.ebay.fr/itm/313983344525?hash=item491add9f8d:g:4FUAAOSwl8dia7jc,https://i.ebayimg.com/thumbs/images/g/4FUAAOSwl8dia7jc/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"4,00 EUR",,"+2,00 EUR (livraison)"
Lot 50 Cartes Code Online Pokemon Neuve différentes séries,https://www.ebay.fr/itm/185407070066?hash=item2b2b1f5f72:g:jO4AAOSwe25ibCl1,https://i.ebayimg.com/thumbs/images/g/jO4AAOSwe25ibCl1/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"4,00 EUR",5 enchères,"+2,50 EUR (livraison)"
Nouvelle annoncePokemon Card / Carte DELCATTY Rare Holo 045/055 ,https://www.ebay.fr/itm/265679450259?hash=item3ddbbab093:g:LbcAAOSwcBRidOoh,https://i.ebayimg.com/thumbs/images/g/LbcAAOSwcBRidOoh/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"3,99 EUR",,"+1,20 EUR (livraison)"
